name,brand,weight_g,unit,category
Огурцы короткоплодные 450 г,,450,pcs,Овощи
Страчателла 200 г,,200,pcs,Сыры
Хлебцы ржано-пшеничные 240 г,,240,pcs,Бакалея
Форель слабосолёная кусок 200 г,,200,pcs,Рыба
Дезодорант-карандаш Axe Ice Chill 50 мл,Axe,50,pcs,Бытовая химия
Слива,,,kg,Фрукты
Икра лососевая копчёная 180 г,,180,pcs,Рыба
Нектарины,,,kg,Фрукты
Сырок глазированный ванильный 45 г,,45,pcs,Молочное
Пюре детское банан-яблоко 210 г,,210,pcs,Детское питание
Тунец в масле 185 г,,185,pcs,Консервы
Салями сырокопчёная,,,kg,Колбасы
Колбаса Докторская варёная 400 г,,400,pcs,Колбасы
Персики консервированные 500 г,,500,pcs,Консервы
Фиор ди латте,,,kg,Сыры
Пюре детское яблоко-груша 200 г,,200,pcs,Детское питание
