name,qty,unit_price
Огурцы короткоплодные 450 г,1,99.90
Страчателла 200 г,1,239.00
Хлебцы ржано-пшеничные 240 г,2,49.90
Форель слабосолёная кусок 200 г,1,379.00
Дезодорант-карандаш Axe Ice Chill 50 мл,1,289.00
Слива,0.9,239.00
Икра лососевая копчёная 180 г,1,159.00
Нектарины,0.5,149.00
Сырок глазированный ванильный 45 г,2,49.90
Пюре детское банан-яблоко 210 г,1,45.90
Тунец в масле 185 г,2,179.00
Салями сырокопчёная,0.3,1790.00
Колбаса Докторская варёная 400 г,1,229.00
Персики консервированные 500 г,2,219.00
Фиор ди латте,0.35,1090.00
Пюре детское яблоко-груша 200 г,1,45.90
